Poem,Romaji,My translation,俳人,Poet,Dates,Season,Kigo,Original source ,Modern Source,Notes,Maegaki,NKBZ,俳句大観,名歌名句辞典,俳句の歴史,現代俳句,自選自解,蝸牛,古典俳句,Ueda Haiku,Keene World,Keene Dawn,Blyth Haiku,Blyth History,Fay Aoyagi,English Saijiki,21 Century,Other translation,Saijiki priority
春雨や　蜂の巣つたふ　屋根の漏り,harusame ya / hachi no su tsutau / yane no mori,"spring rain —
running down the wasp's nest,
the leaking roof",,Bashō,,Spring,春雨 harusame (spring rain),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
うぐひすや　竹の子藪に　老を鳴く,uguisu ya / takenoko yabu ni / oi wo naku,"the warbler —
in the young-bamboo thicket,
singing of old age",,Bashō,,Spring,鶯 uguisu (warbler; bush warbler); 竹の子 takenoko (bamboo shoots),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
寒菊や　粉糠のかかる　臼の端,kangiku ya / konuka no kakaru / usu no hata,"winter chrysanthemum —
rice bran dusted
on the edge of the mortar",,Bashō,,Winter,寒菊 kangiku (winter chrysanthemum),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
月花ヲ医ス　閑素幽栖の　野巫の子有り,tsuki hana wo / isu kansoyūsei no / yabu no ko ari,"curing moon and blossom —
child of the simple hermitage,
a village quack",其角,Kikaku,,Spring,花 hana (blossoms; cherry blossoms),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
闇の夜は　吉原ばかり　月夜かな,yami no yo wa / Yoshiwara bakari / tsukiyo kana,"on a dark night —
only Yoshiwara
is moonlit",,Kikaku,,Autumn,月 tsuki (moon; autumn moon),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
日の春を　さすがに鶴の　歩みかな,hi no haru wo / sasuga ni tsuru no / ayumi kana,"the first day of spring —
and sure enough, the crane
walks as a crane should",,Kikaku,,New Year,日の春 hi no haru (New Year's spring sunrise),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
鐘ひとつ　売れぬ日はなし　江戸の春,kane hitotsu / urenu hi wa nashi / Edo no haru,"not a day without a bell sold —
Edo in spring",,Kikaku,,Spring,江戸の春 Edo no haru (Edo in spring; New Year),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
霜の朝や　つつむ生姜　味噌嘗（なめ）,shimo no asa ya / tsutsumu shōga / miso name,"a frosty morning —
ginger wrapped in something,
licking the miso",嵐雪,Ransetsu,,Winter,霜 shimo (frost),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
梅一輪　一輪ほどの　暖かさ,ume ichirin / ichirin hodo no / atatakasa,"one plum blossom —
warmth enough
for one plum blossom",,Ransetsu,,Spring,梅 ume (plum blossoms),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
蒲団着て　寝たる姿や　東山,futon kite / netaru sugata ya / Higashiyama,"wrapped in a futon,
the shape of something sleeping —
the Eastern Hills",,Ransetsu,,Winter,冬 fuyu (winter),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
木枯の地にも落とさぬ　しぐれかな,kogarashi no / chi ni mo otosanu / shigure kana,"the winter gale
doesn't let it reach the ground —
the drizzle",去来,Kyorai,,Winter,木枯 kogarashi (winter gale),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
おうおうと　いへどもうごかぬ　雪の門,ōō to / iedomo ugokanu / yuki no kado,"hey! hey! i call —
but it doesn't move:
the snowy gate",,Kyorai,,Winter,雪 yuki (snow),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
木枕の　垢や伊吹に　残る雪,kimakura no / aka ya Ibuki ni / nokoru yuki,"grime on the wooden pillow —
and on Mt. Ibuki,
lingering snow",,Kyorai,,Winter,残る雪 nokoru yuki (lingering snow),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
鷹の目の　枯野に居て　吹くあらしかな,taka no me no / kareno ni ite / fuku arashi kana,"with the eye of a hawk,
dwelling in the withered fields —
a storm blowing",丈草,Jōsō,,Winter,枯野 kareno (withered field),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
時鳥　啼くや湖水の　さざ波かな,hototogisu / naku ya kosui no / sazanami kana,"the cuckoo cries —
on the lake,
small waves",,Jōsō,,Summer,時鳥 hototogisu (little cuckoo; lesser cuckoo),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
いへどもうごかぬ　雪の門,iedomo ugokanu / yuki no kado,"though i call and call —
the snowy gate won't move",,Jōsō,,Winter,雪 yuki (snow),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
誰か待つ　蝿は来りて　夏になって,dare ka matsu / hae wa kitarite / natsu ni natte,"waiting for someone —
the flies have come around,
summer has arrived",杉風,Sampū,,Summer,蝿 hae (fly; housefly),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
馬の頬　押しけつむや　春の童草,uma no hō / oshi ketsumu ya / haru no warabe gusa,"pressing the horse's cheek —
spring children's grass",許六,Kyoroku,,Spring,春 haru (spring),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
花の中に　城ありさくら　郡山,hana no naka ni / shiro ari sakura / Kōriyama,"within the blossoms —
a castle, cherry blossoms:
Kōriyama",,Kyoroku,,Spring,花 hana (blossoms; cherry blossoms),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
苗代の　水にちりうく　花の中,nawashiro no / mizu ni chiri uku / hana no naka,"in the seedbed water,
petals drifting and floating —
within the blossoms",,Kyoroku,,Spring,花 hana (blossoms; cherry blossoms),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
俳論よりも軍書にかなし　芳野山,hairon yori mo / gunsho ni kanashi / Yoshinoyama,"more than a treatise on haiku —
it is a war chronicle,
Mt. Yoshino",支考,Shikō,,Spring,花 hana (blossoms; cherry blossoms),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
卯の花に　さくら合はせる　明け方かな,u no hana ni / sakura awaseru / akegata kana,"deutzia blossoms
meeting the cherry blossoms —
at dawn",,Shikō,,Summer,卯の花 u no hana (deutzia blossoms),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
長松が　寝て居る白は　夏座敷かな,Chōmatsu ga / nete iru shiro wa / natsu zashiki kana,"the white of Chōmatsu
lying down —
a summer parlour",野坡,Yaba,,Summer,夏座敷 natsu zashiki (summer parlour),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
行く雲を　寝て見る隣の　名で御慶,yuku kumo wo / nete miru tonari no / na de gyokei,"watching clouds drift by
while lying down — greeting the new year
under a neighbour's name",,Yaba,,New Year,御慶 gyokei (New Year's greeting),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
うめの花　赤いは赤い　はな,ume no hana / akai wa akai / hana,"the plum blossoms —
red ones are red,
blossoms",惟然,Inen,,Spring,梅の花 ume no hana (plum blossoms),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
水鳥や　むかふの岸へ　つういつうい,mizudori ya / mukō no kishi e / tsūi tsūi,"waterfowl —
toward the far shore,
gliding, gliding",,Inen,,Winter,水鳥 mizudori (waterfowl; winter waterfowl),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
灰捨てて　白梅うるむ　垣根かな,hai sutete / shirome urumu / kakine kana,"dumping the ash —
the white plum blossoms blur,
along the fence",凡兆,Bonchō,,Spring,白梅 shirome / shiroume (white plum blossoms),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
呼びかへす　鮒売見えぬ　雪の原,yobikaesu / funaurisemu / yuki no hara,"calling back —
the carp-seller out of sight:
a field of snow",,Bonchō,,Winter,雪 yuki (snow),,Yamashito Haiku Rekishi,Chapter 5: The Four Sages and Six Masters of the Bashō School,,,,,,,,,,,,,,,,,,,
昼顔の　砂踏み崩す　暑さかな,hirugao no / suna fumikuzusu / atsusa kana,"the morning glory —
crumbling the sand underfoot,
this heat",支考,Shikō,,Summer,暑さ atsusa (heat; the summer heat),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
駒の尾に　まだ霧原の　大風引き,koma no o ni / mada kirihara no / ōkaze hiki,"at the horse's tail —
still trailing the great wind
of the misty plain",,Shikō,,Autumn,霧 kiri (mist),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
参銭の　音まれまれに　落葉かな,sanzen no / oto mare mare ni / ochiba kana,"the sound of offerings —
so rare, so rare,
falling leaves",,Shikō,,Autumn,落葉 ochiba (falling leaves),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
鶯の　いくつも捨てて　初音かな,uguisu no / ikutsu mo sutete / hatsune kana,"the warbler —
discarding so many drafts,
its first song",廬元坊,Rogenbo,,Spring,鶯 uguisu (warbler; bush warbler),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
凩の　一日吹いて　居りにけり,kogarashi no / ichinichi fuite / ori ni keri,"the winter gale —
blowing all day long,
has settled in",涼菟,Ranryū,,Winter,木枯 kogarashi (winter gale),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
山々や　応じこぶしづ　老の春,yamayama ya / ōji kobushizu / oi no haru,"mountain after mountain —
responding, the magnolias:
spring of old age",,Ranryū,,New Year,春 haru (spring; New Year),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
かたびらに　越の日数や　後の月,katabira ni / Koshi no nissū ya / nochi no tsuki,"in a summer robe —
the days counted in Koshi:
the late moon",,Ranryū,,Autumn,後の月 nochi no tsuki (late moon; second harvest moon),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
花さかぬ　身をすほめたる　柳かな,hana sakanu / mi wo subometaru / yanagi kana,"bearing no blossoms,
contracting its body —
the willow",乙由,Otokuni,,Spring,柳 yanagi (willow),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
紫陽花に　おもたき朝日　夕日かな,ajisai ni / omotaki asahi / yūhi kana,"on the hydrangeas —
the heavy morning sun,
the evening sun",,Otokuni,,Summer,紫陽花 ajisai (hydrangea),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
足高に　橘は残りて　枯野かな,ashitaka ni / tachibana wa nokori te / kareno kana,"standing tall —
the mandarin orange remains:
a withered field",,Otokuni,,Winter,枯野 kareno (withered field),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
朝顔に　釣瓶とられて　もらひ水,asagao ni / tsurube torarete / morai mizu,"the morning glory
has captured the bucket —
i'll beg water elsewhere",千代女,Chiyo-jo,,Autumn,朝顔 asagao (morning glory),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
稲妻の　尾や其のまゝに　かきつばた,inazuma no / o ya sono mama ni / kakitsubata,"the lightning's tail —
just as it is,
an iris",,Chiyo-jo,,Summer,杜若 kakitsubata (iris),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
夕顔や　女子の肌の　見ゆる時,yūgao ya / joshi no hada no / miyuru toki,"the evening glory —
the moment
a girl's skin shows",,Chiyo-jo,,Autumn,夕顔 yūgao (moonflower; evening glory),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
落鮎や　日に日に水の　しづまる磯かな,ochiayu ya / hi ni hi ni mizu no / shizumaru iso kana,"the falling ayu —
day by day the water
settling at the shore",,Chiyo-jo,,Autumn,落ち鮎 ochi-ayu (descending sweetfish),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
蚊をやく　龍眼肉の　閨の私語,ka wo yaku / ryūganniku no / neya no sasame goto,"burning mosquitoes —
longan fruit
whispered talk in the bedchamber",其角,Kikaku,,Summer,蚊 ka (mosquito),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
折って後　貴ふ声あり　垣の梅,otte nochi / tōto koe ari / kaki no ume,"after breaking it —
a voice calling precious!""
plum at the fence",沾徳,Sentoku,,Spring,梅 ume (plum blossoms),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
蚊の声の　しらむに寂し　軒の雨,ka no koe no / shiramu ni samishi / noki no ame,"the mosquito's voice
fading into light —
rain at the eaves",,Sentoku,,Summer,蚊 ka (mosquito),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
低きかたへ　水のあはづや　初あらし,hikuki kata e / mizu no awazu ya / hatsu arashi,"toward the low place —
the water not yet meeting:
first autumn storm",沾洲,Senshū,,Autumn,初嵐 hatsu arashi (first autumn storm),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
梅咲いて　朝寝の家と　成りにけり,ume saite / asane no ie to / nari ni keri,"the plum has bloomed —
it has become
a house of morning sleep",,Senshū,,Spring,梅 ume (plum blossoms),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
梅が香や　南吹く夜の　肱枕,ume ga ka ya / minami fuku yo no / hiji makura,"the plum's fragrance —
a night of south wind,
elbow as pillow",,Senshū,,Spring,梅 ume (plum blossoms),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
川上の　虹を白に眺む　夜あけかな,kawakami no / niji wo shiro ni nagamu / yoake kana,"upstream —
watching the rainbow turn white:
the break of day",淡々,Tantan,,Summer,虹 niji (rainbow),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
梅もどき　としの尾や都の　孤釣り,umemOdoki / toshi no o ya miyako no / ko-tsuri,"fake plum —
the year's end in the capital,
a lone fisherman",,Tantan,,Winter,年の尾 toshi no o (year's end),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
紅梅に　青く横たふ　寛かな,kōbai ni / aoku yokotau / hiro kana,"against the red plum —
lying green across it,
the calm",長水,Chōsui,,Spring,紅梅 kōbai (red plum blossoms),,Yamashito Haiku Rekishi,Chapter 6: The Course of the Bashō Style,,,,,,,,,,,,,,,,,,,
あらし吹く　草の中より　瓜のほひかな,arashi fuku / kusa no naka yori / uri no nioi kana,"in the stormy wind —
from amid the grass,
the scent of melon",坡厄,Hakū,,Summer,瓜 uri (melon),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
名月や　沖の高みな　ひかりもあり,meigetsu ya / oki no takami na / hikari mo ari,"the harvest moon —
even the distant offshore heights
have their light",野梅,Nobume,,Autumn,名月 meigetsu (harvest moon),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
白菊や　浅黄に見ゆる　折もあり,shiragiku ya / asagi ni miyuru / ori mo ari,"white chrysanthemums —
sometimes they appear pale blue,
in certain light",橿良,Kashiragi,,Autumn,白菊 shiragiku (white chrysanthemum),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
椿落て　一音皆　心に対ふ,tsubaki ochite / hitoto-ne mina / kokoro ni mukau,"a camellia drops —
one sound, and all
turns toward the heart",麦水,Bakusui,,Spring,椿 tsubaki (camellia),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
湖の水　鳴く蛙か　こほす蛙か,mizuumi no mizu / naku kawazu ka / kobosu kawazu ka,"the lake's water —
frogs calling, or
frogs spilling it?",,Bakusui,,Spring,蛙 kawazu (frog),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
九月尽　遙かに能登の　岬の海,kugatsu jin / haruka ni Noto no / misaki no umi,"the end of the ninth month —
in the distance, the sea
at the cape of Noto",暁台,Gyōdai,,Autumn,九月尽 kugatsu jin (end of the ninth month),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
はるののゆき扇ではらふ　衣紋かな,harunono yuki / ōgi de harau / eimon kana,"spring-field snow —
brushing it off with a fan:
straightening the robe",,Gyōdai,,Spring,春野 haruno (spring field),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
薫の梅が香ふく　板戸ころかな,kaoru ume ga ka / fuku itado / koro kana,"the fragrant plum's scent blowing —
a wooden shutter
rolling",,Gyōdai,,Spring,梅 ume (plum blossoms),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
若菜野や　赤裳引きづる　雪の上,wakana no ya / akamo hikizuru / yuki no ue,"the young-greens field —
a red skirt trailing
across the snow",闌更,Ranko,,New Year,若菜 wakana (young greens; spring greens),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
蝶飛ぶや　小狐狂ふ　岡のはら,chō tobu ya / kogitsune kuruu / oka no hara,"butterflies flying —
a small fox frolicking
on the hillside plain",,Ranko,,Spring,蝶 chō (butterfly),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
白根牡丹や　只一輪の　盛り草の花,shirane botan ya / tada ichirin no / sakari kusa no hana,"Shirane peony —
just one bloom,
a flower at its peak among the grasses",,Ranko,,Summer,牡丹 botan (peony),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
夕風や　野川を蝶の　越えしより,yūkaze ya / nogawa wo chō no / koeshi yori,"the evening wind —
since the butterfly crossed
the field stream",白雄,Shirane,,Spring,蝶 chō (butterfly),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
人恋し　灯ともしごろを　さくらちな,hito koishi / hi tomoshi goro wo / sakura chi na,"longing for someone —
at the hour of lighting lamps,
cherry blossoms fall",,Shirane,,Spring,桜 sakura (cherry blossoms),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
行く秋の　草にかくる　流れかな,yuku aki no / kusa ni kakuru / nagare kana,"autumn going —
a stream hidden
in the grasses",,Shirane,,Autumn,行く秋 yuku aki (departing autumn),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
木枯や　市に業の　琴をき,kogarashi ya / ichi ni waza no / koto wo ki,"the winter gale —
at the market, a craftsman's
koto being played",,Shirane,,Winter,木枯 kogarashi (winter gale),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
鶏の鞘に　氷こほる　菜屑かな,niwatori no / saya ni kooru / nakuzu kana,"in the rooster's beak —
ice forming
on the cabbage scraps",,Shirane,,Winter,氷 kōri (ice),,Yamashito Haiku Rekishi,Chapter 7: The Stirring of the Mid-Edo Revival,,,,,,,,,,,,,,,,,,,
君が代や　二三度し　たると　とし忘れ,kimi ga yo ya / ni san do shi / taru to / toshi wasure,"the age of our lord —
two or three times already
we have forgotten the year","蕪村, as Saicho 宰町",Buson,,New Year,年忘れ toshi wasure (year-forgetting party),,Yamashito Haiku Rekishi,Chapter 8: The Life and Literature of Buson,,,,,,,,,,,,,,,,,,,
古庭に　鶯略き　ぬ日もすがら,furuniwa ni / uguisu naki / nu hi mo sugara,"in the old garden —
the warbler cries
all through a rainy day",,Buson,,Spring,鶯 uguisu (warbler; bush warbler),,Yamashito Haiku Rekishi,Chapter 8: The Life and Literature of Buson,,,,,,,,,,,,,,,,,,,
花守の　身は弓　矢なき　かしかな,hanamori no / mi wa yumi / yaki / kashi kana,"the blossom-guardian's body —
bow without arrow,
oak tree",,Buson,,Spring,花 hana (blossoms; cherry blossoms),,Yamashito Haiku Rekishi,Chapter 8: The Life and Literature of Buson,,,,,,,,,,,,,,,,,,,
夕風や　水青鷺の　脛をうつ,yūkaze ya / mizu ao-sagi no / hagi wo utsu,"the evening breeze —
water striking the legs
of the grey heron",,Buson,,Summer,鷺 sagi (heron),,Yamashito Haiku Rekishi,Chapter 8: The Life and Literature of Buson,,,,,,,,,,,,,,,,,,,
しら梅に　明る夜ばかりと　なりにけり,shirame ni / akuru yo bakari to / nari ni keri,"the white plum —
it has become a night
brightened only by this",,Buson,,Spring,白梅 shirome / shiroume (white plum blossoms),,Yamashito Haiku Rekishi,Chapter 8: The Life and Literature of Buson,,,,,,,,,,,,,,,,,,,
春雨や　小磯の小貝　ぬるるほど,harusame ya / koiso no kogai / nururu hodo,"spring rain —
enough to wet
the tiny shells on the small shore",,Buson,,Spring,春雨 harusame (spring rain),,Yamashito Haiku Rekishi,Chapter 8: The Life and Literature of Buson,,,,,,,,,,,,,,,,,,,
菜の花や　月は東に　日は西に,na no hana ya / tsuki wa higashi ni / hi wa nishi ni,"rapeseed blossoms —
the moon in the east,
the sun in the west",,Buson,,Spring,菜の花 na no hana (rapeseed blossoms),,Yamashito Haiku Rekishi,Chapter 8: The Life and Literature of Buson,,,,,,,,,,,,,,,,,,,
さみだれや　大河を前に　家二軒,samidare ya / taiga wo mae ni / ie ni ken,"the May rains —
facing the great river,
two houses",,Buson,,Summer,五月雨 samidare (May rains; summer rains),,Yamashito Haiku Rekishi,Chapter 8: The Life and Literature of Buson,,,,,,,,,,,,,,,,,,,
方百里　雨雲よせぬ　ぼたんかな,hō hyakuri / amagumo yosenu / botan kana,"for a hundred leagues around —
no rain cloud approaches:
the peony",,Buson,,Summer,牡丹 botan (peony),,Yamashito Haiku Rekishi,Chapter 8: The Life and Literature of Buson,,,,,,,,,,,,,,,,,,,
我と来て　遊べや親の　ない雀,ware to kite / asobe ya oya no / nai suzume,"come play with me —
you, sparrow,
with no parent either",一茶,Issa,,,雀 suzume (sparrow),,Yamashito Haiku Rekishi,Chapter 10: The Individuality of Issa,,,,,,,,,,,,,,,,,,,
初夢に　故郷を見て　泪かな,hatsuyume ni / furusato wo mite / namida kana,"in my first dream —
i saw my home village,
and wept",,Issa,,New Year,初夢 hatsuyume (first dream of the year),,Yamashito Haiku Rekishi,Chapter 10: The Individuality of Issa,,,,,,,,,,,,,,,,,,,
父あり て　明の見たし　草の露,chichi arite / asu mo mitashi / kusa no tsuyu,"my father is here —
i want to see tomorrow too,
the dew on the grass",,Issa,,Autumn,草の露 kusa no tsuyu (dew on grass),,Yamashito Haiku Rekishi,Chapter 10: The Individuality of Issa,,,,,,,,,,,,,,,,,,,
雪の日や　故郷人の　ぶあしらひ,yuki no hi ya / furusato bito no / buashirai,"a snowy day —
the cold reception
of home-village people",,Issa,,Winter,雪 yuki (snow),,Yamashito Haiku Rekishi,Chapter 10: The Individuality of Issa,,,,,,,,,,,,,,,,,,,
心からし　なの雪に降られけり,kokoro karashi / na no yuki ni / furarekeri,"from the heart —
fallen upon by the snow
of the plain",,Issa,,Winter,雪 yuki (snow),,Yamashito Haiku Rekishi,Chapter 10: The Individuality of Issa,,,,,,,,,,,,,,,,,,,
五十 甥 天窓をかくす　扇かな,gojū oi / tenmado kakusu / ōgi kana,"fifty —
hiding the skylight
with a fan",,Issa,,Summer,扇 ōgi (fan; summer fan),,Yamashito Haiku Rekishi,Chapter 10: The Individuality of Issa,,,,,,,,,,,,,,,,,,,
露の世は　露の世ながら　さりながら,tsuyu no yo wa / tsuyu no yo nagara / sari nagara,"this world of dew —
yes, it is only a world of dew,
and yet... and yet...",,Issa,,Autumn,露 tsuyu (dew; autumn dew),,Yamashito Haiku Rekishi,Chapter 10: The Individuality of Issa,,,,,,,,,,,,,,,,,,,
六十　踊る夜もなく　過ごしけり,rokujū / odoru yo mo naku / sugoshi keri,"sixty —
not a single night
of dancing has passed",,Issa,,,,,Yamashito Haiku Rekishi,Chapter 10: The Individuality of Issa,,,,,,,,,,,,,,,,,,,
沙汐浜を　反故にして　飛ぶ千鳥かな,sachio hama wo / hōgu ni shite / tobu chidori kana,"leaving the sandy shore
as waste paper —
flying plovers",,Issa,,Winter,千鳥 chidori (plover),,Yamashito Haiku Rekishi,Chapter 10: The Individuality of Issa,,,,,,,,,,,,,,,,,,,
瘦せ蛙　負けるな一茶　是にあり,yasegaeru / makeru na Issa / kore ni ari,"thin frog —
don't give up, Issa
is here",,Issa,,Spring,蛙 kawazu (frog),,Yamashito Haiku Rekishi,Chapter 10: The Individuality of Issa,,,,,,,,,,,,,,,,,,,
やれ打つな　蝿が手を摺り　足を擦る,yare utsu na / hae ga te wo suri / ashi wo suru,"don't swat it —
the fly is rubbing
its hands and feet together",,Issa,,Summer,蝿 hae (fly; housefly),,Yamashito Haiku Rekishi,Chapter 10: The Individuality of Issa,,,,,,,,,,,,,,,,,,,
大仏の柱や　汐干の跡の水,daibutsu no / hashira ya shiohiru / ato no mizu,"the great buddha's pillar —
water left behind
by the ebbing tide",二柳,Niryū,,Spring,汐干 shiohiru (ebb tide; spring low tide),,Yamashito Haiku Rekishi,Chapter 11: The Maturation of the Kasei Era,,,,,,,,,,,,,,,,,,,
うすうすと　南天赤し　今朝の雪,usuusu to / nanten akashi / kesa no yuki,"faintly, faintly —
the nandina's red berries
this morning's snow",,Niryū,,Winter,雪 yuki (snow),,Yamashito Haiku Rekishi,Chapter 11: The Maturation of the Kasei Era,,,,,,,,,,,,,,,,,,,
